name,abbrv,color,coauthored
Kevin Knight,K. Knight,#32CD32,0
Ting Chen,T. Chen,#ffc0cb,0
Aristides Requicha,A. Requicha,#ffc0cb,0
Xianghong Zhou,X. Zhou,#ffc0cb,1
Michael Waterman,M. Waterman,#ffc0cb,1
Shaddin Dughmi,S. Dughmi,#ffff00,1
Milind Tambe,M. Tambe,#32CD32,1
Shang-Hua Teng,S. Teng,#ffff00,1
David Kempe,D. Kempe,#ffff00,1
Kai Hwang,K. Hwang,#d3d3d3,0
Cauligi Raghavendra,C. Raghavendra,#d3d3d3,1
Viktor Prasanna,V. Prasanna,#00bfff,1
Bhaskar Krishnamachari,B. Krishnamachari,#00bfff,1
Maja Mataric,M. Mataric,#ffc0cb,1
Shrikanth Narayanan,S. Narayanan,#32CD32,1
Gaurav Sukhatme,G. Sukhatme,#ffc0cb,1
Fei Sha,F. Sha,#32CD32,1
Remo Rohs,R. Rohs,#d3d3d3,0
Yan Liu,Y. Liu,#32CD32,1
Cyrus Shahabi,C. Shahabi,#00bfff,1
Paul Rosenbloom,P. Rosenbloom,#d3d3d3,1
Gérard Medioni,G. Medioni,#32CD32,1
C.-C. Kuo,C. Kuo,#32CD32,1
Ilias Diakonikolas,I. Diakonikolas,#ffff00,0
Melvin Breuer,M. Breuer,#00bfff,1
Murali Annavaram,M. Annavaram,#00bfff,1
Aiichiro Nakano,A. Nakano,#00bfff,1
Rajiv Kalia,R. Kalia,#00bfff,1
Leonard Adleman,L. Adleman,#d3d3d3,0
Sven Koenig,S. Koenig,#32CD32,1
Nora Ayanian,N. Ayanian,#ffc0cb,1
Hao Li,H. Li,#ffc0cb,1
Joseph Lim,J. Lim,#32CD32,1
Jernej Barbic,J. Barbic,#ffc0cb,1
Paul Debevec,P. Debevec,#ffc0cb,1
Stefan Schaal,S. Schaal,#ffc0cb,1
Leana Golubchik,L. Golubchik,#00bfff,1
Ramesh Govindan,R. Govindan,#00bfff,1
Nenad Medvidovic,N. Medvidovic,#00bfff,1
Ellis Horowitz,E. Horowitz,#d3d3d3,0
Dennis McLeod,D. McLeod,#32CD32,1
Shahram Ghandeharizadeh,S. Ghandeharizadeh,#00bfff,1
Aleksandra Korolova,A. Korolova,#00bfff,0
Haipeng Luo,H. Luo,#32CD32,0
William Halfond,W. Halfond,#00bfff,1
Ethan Katz-Bassett,E. Katz-Bassett,#00bfff,1
George Bekey,G. Bekey,#ffc0cb,0
Barry Boehm,B. Boehm,#00bfff,0
Todd Brun,T. Brun,#d3d3d3,0
Ben Reichardt,B. Reichardt,#ffff00,0
Chao Wang,C. Wang,#00bfff,0
Francisco Cuevas,F. Cuevas,#d3d3d3,0
Ramakant Nevatia,R. Nevatia,#32CD32,1
Wyatt Lloyd,W. Lloyd,#00bfff,0
Ulrich Neumann,U. Neumann,#32CD32,1
Muhammad Naveed,M. Naveed,#00bfff,0
Laurent Itti,L. Itti,#ffc0cb,1
Morteza Dehghani,M. Dehghani,#32CD32,0
Stephen Lu,S. Lu,#d3d3d3,0
Jeffrey Miller,J. Miller,#d3d3d3,0
Michael Arbib,M. Arbib,#d3d3d3,0
Ming-Deh Huang,M. Huang,#ffff00,0
Xuehai Qian,X. Qian,#00bfff,0
