name,abbrv,color,coauthored
Moira Norrie,M. Norrie,#ffc0cb,0
David Basin,D. Basin,#00bfff,1
Adrian Perrig,A. Perrig,#00bfff,1
Srdjan Capkun,S. Capkun,#00bfff,1
Joachim Buhmann,J. Buhmann,#32CD32,1
Donald Kossmann,D. Kossmann,#00bfff,1
Gustavo Alonso,G. Alonso,#00bfff,1
Andreas Krause,A. Krause,#32CD32,1
Olga Sorkine-Hornung,O. Sorkine-Hornung,#ffc0cb,1
Markus Gross,M. Gross,#ffc0cb,1
Timothy Roscoe,T. Roscoe,#00bfff,1
Thomas Gross,T. Gross,#00bfff,1
Markus Püschel,M. Püschel,#00bfff,1
Onur Mutlu,O. Mutlu,#00bfff,1
Marc Pollefeys,M. Pollefeys,#32CD32,1
Peter Widmayer,P. Widmayer,#32CD32,1
Peter Arbenz,P. Arbenz,#d3d3d3,0
Otmar Hilliges,O. Hilliges,#ffc0cb,1
Martin Vechev,M. Vechev,#00bfff,1
Peter Müller,P. Müller,#00bfff,1
Torsten Hoefler,T. Hoefler,#00bfff,1
Juraj Hromkovic,J. Hromkovic,#d3d3d3,1
Ueli Maurer,U. Maurer,#ffff00,1
Gunnar Rätsch,G. Rätsch,#ffc0cb,0
Thomas Holenstein,T. Holenstein,#ffff00,1
Mohsen Ghaffari,M. Ghaffari,#ffff00,0
Thomas Hofmann,T. Hofmann,#32CD32,0
Bernd Gärtner,B. Gärtner,#32CD32,1
Emo Welzl,E. Welzl,#00bfff,1
Angelika Steger,A. Steger,#ffff00,0
Ankit Singla,A. Singla,#00bfff,0
Ce Zhang,C. Zhang,#00bfff,0
